LocationID,Zone,Borough,latitude,longitude
1,Newark Airport,EWR,40.69183120640151,-74.17400027276302
2,Jamaica Bay,Queens,40.616745291659875,-73.83129854302209
3,Allerton/Pelham Gardens,Bronx,40.86447368477544,-73.84742223236718
4,Alphabet City,Manhattan,40.72375214158479,-73.97696825691769
5,Arden Heights,Staten Island,40.552659286945655,-74.1884841018493
6,Arrochar/Fort Wadsworth,Staten Island,40.60032414603465,-74.07177055895139
7,Astoria,Queens,40.76149256216375,-73.91969431946073
8,Astoria Park,Queens,40.77855865375072,-73.92308615750751
9,Auburndale,Queens,40.75103502557237,-73.78794887777892
10,Baisley Park,Queens,40.678953310115254,-73.79098635986959
11,Bath Beach,Brooklyn,40.60427284003079,-74.00748815801174
12,Battery Park,Manhattan,40.70294583498472,-74.01556351255897
13,Battery Park City,Manhattan,40.71203815707452,-74.01607915192933
14,Bay Ridge,Brooklyn,40.62483492360816,-74.02989237418788
15,Bay Terrace/Fort Totten,Queens,40.783333047261,-73.78597227877707
16,Bayside,Queens,40.762738375442424,-73.7734218189014
17,Bedford,Brooklyn,40.69150749488062,-73.9499050350751
18,Bedford Park,Bronx,40.867682456075414,-73.89018328872038
19,Bellerose,Queens,40.735486779763306,-73.72665537528708
20,Belmont,Bronx,40.85777967544162,-73.8858674810697
21,Bensonhurst East,Brooklyn,40.60142943983516,-73.98353709672227
22,Bensonhurst West,Brooklyn,40.61221825780563,-73.99525857986234
23,Bloomfield/Emerson Hill,Staten Island,40.606447701027484,-74.17088688155239
24,Bloomingdale,Manhattan,40.801970493899624,-73.96547951516966
25,Boerum Hill,Brooklyn,40.6856337413206,-73.98611382213656
26,Borough Park,Brooklyn,40.63094965524549,-73.98866123078284
27,Breezy Point/Fort Tilden/Riis Beach,Queens,40.559133279467574,-73.90690832237581
28,Briarwood/Jamaica Hills,Queens,40.711596357945076,-73.80872901637517
29,Brighton Beach,Brooklyn,40.5809219719338,-73.96121676866855
30,Broad Channel,Queens,40.60368744213565,-73.8219269567942
31,Bronx Park,Bronx,40.85774668091587,-73.87547595053033
32,Bronxdale,Bronx,40.864002206023585,-73.8649009987672
33,Brooklyn Heights,Brooklyn,40.69579822121127,-73.9952501199663
34,Brooklyn Navy Yard,Brooklyn,40.700855738517134,-73.9711886923304
35,Brownsville,Brooklyn,40.664003117925944,-73.9102578313613
36,Bushwick North,Brooklyn,40.70052219951917,-73.9177105313157
37,Bushwick South,Brooklyn,40.694994318442106,-73.92224002165717
38,Cambria Heights,Queens,40.694341467231745,-73.73555427058821
39,Canarsie,Brooklyn,40.63803713911706,-73.89973495669396
40,Carroll Gardens,Brooklyn,40.6791990140971,-73.99595619089148
41,Central Harlem,Manhattan,40.80433394979462,-73.95129200243511
42,Central Harlem North,Manhattan,40.81825786111925,-73.94077166756267
43,Central Park,Manhattan,40.782478099747884,-73.9655535654591
44,Charleston/Tottenville,Staten Island,40.52549458176375,-74.23353354937626
45,Chinatown,Manhattan,40.7124593117795,-73.9981514989905
46,City Island,Bronx,40.84908594313966,-73.78198714613222
47,Claremont/Bathgate,Bronx,40.842749176097996,-73.90031590586489
48,Clinton East,Manhattan,40.76225275531935,-73.98984464313298
49,Clinton Hill,Brooklyn,40.68796745714745,-73.9623635381836
50,Clinton West,Manhattan,40.76623772504185,-73.99513522075515
51,Co-Op City,Bronx,40.87397305492024,-73.82826367307185
52,Cobble Hill,Brooklyn,40.68665124165609,-73.99672403175194
53,College Point,Queens,40.78091235579112,-73.84281349543195
54,Columbia Street,Brooklyn,40.68720074733731,-74.00291127745281
55,Coney Island,Brooklyn,40.57696075363784,-73.98794343407202
56,Corona,Queens,40.74140677482974,-73.85884524944
56,Corona,Queens,40.75181936699948,-73.85358156034263
58,Country Club,Bronx,40.84145210068252,-73.82039319252782
59,Crotona Park,Bronx,40.8385502885279,-73.89498588493973
60,Crotona Park East,Bronx,40.833990477273865,-73.88590003419161
61,Crown Heights North,Brooklyn,40.67446941826645,-73.93928705867957
62,Crown Heights South,Brooklyn,40.66654040578562,-73.94878853931498
63,Cypress Hills,Brooklyn,40.68383976195103,-73.87817261050252
64,Douglaston,Queens,40.76061560532149,-73.73933714992859
65,Downtown Brooklyn/MetroTech,Brooklyn,40.695337529461135,-73.98608600498395
66,DUMBO/Vinegar Hill,Brooklyn,40.70225893882252,-73.98570161582295
67,Dyker Heights,Brooklyn,40.61961946783515,-74.01380148744015
68,East Chelsea,Manhattan,40.74842755506573,-73.99991742024713
69,East Concourse/Concourse Village,Bronx,40.83141669708519,-73.91502929553268
70,East Elmhurst,Queens,40.76335220113318,-73.86839559842028
71,East Flatbush/Farragut,Brooklyn,40.64428817438918,-73.93796627061691
72,East Flatbush/Remsen Village,Brooklyn,40.652364804077415,-73.92225097400491
73,East Flushing,Queens,40.75410888689295,-73.80729418212232
74,East Harlem North,Manhattan,40.80116948058648,-73.93734560812489
75,East Harlem South,Manhattan,40.7900107514954,-73.94575026755157
76,East New York,Brooklyn,40.660935196550554,-73.87682061127182
77,East New York/Pennsylvania Avenue,Brooklyn,40.66655893903527,-73.89536411750328
78,East Tremont,Bronx,40.84496041014611,-73.88552181587428
79,East Village,Manhattan,40.72762019590954,-73.98593745682462
80,East Williamsburg,Brooklyn,40.71536988214351,-73.9367931449188
81,Eastchester,Bronx,40.8809354114894,-73.83664334408301
82,Elmhurst,Queens,40.739495646778145,-73.87711833280918
83,Elmhurst/Maspeth,Queens,40.738323813826014,-73.89217338112859
84,Eltingville/Annadale/Prince's Bay,Staten Island,40.52868644656622,-74.18767433468824
85,Erasmus,Brooklyn,40.64611634689506,-73.95162318261006
86,Far Rockaway,Queens,40.60243279341668,-73.75524369679584
87,Financial District North,Manhattan,40.70680845166581,-74.00749598562425
88,Financial District South,Manhattan,40.70335790323616,-74.01151502922319
89,Flatbush/Ditmas Park,Brooklyn,40.63790012347375,-73.96096824906371
90,Flatiron,Manhattan,40.74227862901229,-73.99697141558367
91,Flatlands,Brooklyn,40.62627276333637,-73.93009701219938
92,Flushing,Queens,40.76110218983439,-73.82885869884265
93,Flushing Meadows-Corona Park,Queens,40.74067587216067,-73.84086726234155
94,Fordham South,Bronx,40.85815519618403,-73.89953593442145
95,Forest Hills,Queens,40.72143227502132,-73.84766941187516
96,Forest Park/Highland Park,Queens,40.697000613101174,-73.8715584251816
97,Fort Greene,Brooklyn,40.69078679421089,-73.97488208618893
98,Fresh Meadows,Queens,40.734462628200944,-73.77725346665981
99,Freshkills Park,Staten Island,40.57677363548708,-74.18641851305908
100,Garment District,Manhattan,40.75351275872571,-73.9887865991153
101,Glen Oaks,Queens,40.74599381838418,-73.71102598691232
102,Glendale,Queens,40.703545610762916,-73.87573576709777
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.689860103660195,-74.04528829364003
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.69876867362614,-74.04077076873652
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,40.68878423861304,-74.0190727263684
106,Gowanus,Brooklyn,40.673512796860756,-73.9906472736312
107,Gramercy,Manhattan,40.73682405761895,-73.9840521326891
108,Gravesend,Brooklyn,40.588403465290305,-73.98143115020046
109,Great Kills,Staten Island,40.55186299807705,-74.1508898076054
110,Great Kills Park,Staten Island,40.54578031659564,-74.12834244237271
111,Green-Wood Cemetery,Brooklyn,40.652137270419054,-73.99023450433016
112,Greenpoint,Brooklyn,40.729506284208796,-73.94954030482205
113,Greenwich Village North,Manhattan,40.732579073027026,-73.99430477051166
114,Greenwich Village South,Manhattan,40.7283403913723,-73.99738026020042
115,Grymes Hill/Clifton,Staten Island,40.617971375889276,-74.08783880974957
